file_id,user_id,task_id,pair_index,prefix_len,prefix,next_action,split,prefix_list,source,transition_score,weight
12_892c3ac68e,10,12,0,1,PROCESS_START,STEP_MENTION_SUGGESTION,val,['PROCESS_START'],real,,
12_892c3ac68e,10,12,1,2,PROCESS_START STEP_MENTION_SUGGESTION,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION']",real,,
12_892c3ac68e,10,12,2,3,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,3,4,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,4,5,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,5,6,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,6,7,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,7,8,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,8,9,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
12_892c3ac68e,10,12,9,10,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,MENTION_SUGGESTION_ACCEPTED,val,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']",real,,
