file_id,user_id,task_id,pair_index,prefix_len,prefix,next_action,split,source,transition_score
llm_synth_expanded_338,synthetic,44,13,14,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9285714285714286
llm_synth_expanded_883,synthetic,22,17,18,"[""PROCESS_START"", ""MENTION_SELECTED"", ""MENTION_TYPE_UPDATED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_REJECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""MENTION_SUGGESTION_ACCEPTED"", ""STEP_METION"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9444444444444444
llm_synth_expanded_704,synthetic,41,1,2,"[""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_1045,synthetic,11,15,16,"[""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_340,synthetic,44,12,13,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9230769230769231
llm_synth_expanded_1054,synthetic,43,7,8,"[""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_658,synthetic,23,12,13,"[""PROCESS_START"", ""MENTION_DELETED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9230769230769231
llm_synth_expanded_625,synthetic,41,19,20,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.95
llm_synth_expanded_740,synthetic,23,13,14,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9285714285714286
llm_synth_expanded_483,synthetic,44,2,3,"[""PROCESS_START"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.6666666666666666
llm_synth_expanded_338,synthetic,44,10,11,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9090909090909091
llm_synth_expanded_121,synthetic,41,10,11,"[""PROCESS_START"", ""MENTION_CREATED"", ""MENTION_SELECTED"", ""MENTION_DELETED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9090909090909091
llm_synth_expanded_839,synthetic,23,2,3,"[""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_206,synthetic,41,3,4,"[""PROCESS_START"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.75
llm_synth_expanded_100,synthetic,41,17,18,"[""PROCESS_START"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9444444444444444
llm_synth_expanded_125,synthetic,41,13,14,"[""PROCESS_START"", ""TOKEN_SELECTED"", ""MENTION_SELECTED"", ""RELATION_CREATED"", ""MENTION_SELECTED"", ""MENTION_DESELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9285714285714286
llm_synth_expanded_1010,synthetic,13,6,7,"[""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_DESELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_DESELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_1045,synthetic,11,19,20,"[""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_1046,synthetic,11,17,18,"[""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_DESELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,1.0
llm_synth_expanded_339,synthetic,44,12,13,"[""PROCESS_START"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9230769230769231
llm_synth_expanded_206,synthetic,41,5,6,"[""PROCESS_START"", ""ENTITY_GROUPED"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""ENTITY_GROUPED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.8333333333333334
llm_synth_expanded_340,synthetic,44,9,10,"[""PROCESS_START"", ""MENTION_CREATED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""TOKEN_SELECTED"", ""MENTION_CREATED"", ""STEP_ENTITIES"", ""MENTION_SELECTED"", ""MENTION_SELECTED"", ""MENTION_SELECTED""]",ENTITY_GROUPED,train,llm_synthetic_expanded,0.9
