file_id,next_action,pair_index,prefix,prefix_len,prefix_list_temp,prefix_norm,source,split,task_id,transition_score,user_id
12_892c3ac68e,STEP_MENTION_SUGGESTION,0,PROCESS_START,1,['PROCESS_START'],"[""PROCESS_START""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,1,PROCESS_START STEP_MENTION_SUGGESTION,2,"['PROCESS_START', 'STEP_MENTION_SUGGESTION']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,2,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED,3,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,3,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,4,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,4,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,5,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,5,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,6,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,6,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,7,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,7,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,8,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,8,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,9,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
12_892c3ac68e,MENTION_SUGGESTION_ACCEPTED,9,PROCESS_START STEP_MENTION_SUGGESTION MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED MENTION_SUGGESTION_ACCEPTED,10,"['PROCESS_START', 'STEP_MENTION_SUGGESTION', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED', 'MENTION_SUGGESTION_ACCEPTED']","[""PROCESS_START"", ""STEP_MENTION_SUGGESTION"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED"", ""MENTION_SUGGESTION_ACCEPTED""]",real,val,12,,10
